"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"age",1.03852855137107,0.00654189550254269,5.77888424479389,7.51976388735781e-09,1.02529766701577,1.0519301727781
"stage",2.24622675573794,0.115842175055153,6.98581333307104,2.8321042572863e-12,1.78998156341838,2.81876346734957
"subtypeBRCA_Basal",0.830630234703739,0.328203944908741,-0.565412300146748,0.571793360229943,0.436556069707727,1.58043063578501
"subtypeBRCA_Her2",1.33970395515416,0.352418975601781,0.829832332568378,0.406633587567664,0.671474096672543,2.67293510851689
"subtypeBRCA_LumA",0.53776764585087,0.275653033545339,-2.25039677295292,0.0244237696792906,0.313298548140085,0.923062180277576
"subtypeBRCA_LumB",0.750425172279244,0.301977256887161,-0.950784637439725,0.341713712718035,0.415206254112079,1.3562848189621
"subtypeBRCA_Normal",1.03121687108253,0.447620923683917,0.0686731372762256,0.945249801058063,0.428878611913119,2.47950866671027
