covariate,exp(coef),exp(coef) lower 95%,exp(coef) upper 95%,p
age,1.0397677641684353,1.0252960908923678,1.0544436997344595,4.943721775367993e-08
stage,2.210323719712561,1.7411121535279013,2.805982909271376,7.279581826198525e-11
SUBTYPE_BRCA_Her2,1.6171943422091155,0.8276259004762386,3.160023796945273,0.15960019469265796
SUBTYPE_BRCA_LumA,0.6526020336296913,0.39030111123905614,1.091181659579634,0.10368299064897052
SUBTYPE_BRCA_LumB,0.9170216903338836,0.5108529850479789,1.6461267823732766,0.7716646475263604
SUBTYPE_BRCA_Normal,1.2483641573595334,0.5286206982942468,2.948074251365232,0.612879760414208
